exp_id,exp_name,investigators,researchers,attachments,n_fcs_files_total,n_fcs_files_parse
FR-FCM-ZZAC,Leukocyte composition of Human aorta,Charles-Antoine Dutertre,Charles-Antoine Dutertre,"new(""attachmentProxy"", description = NULL, name = "".DS_Store"", url = ""https://flowrepository.org/experiments/332/attachments/501/download"", size = 6148, md5sum = ""64aad0fd6d8fc9c005cee29f59b4692a"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""14_coul_wo_CD11c_mono_MF_DC_HUMAN_ADV_media_AAA_13_09_12.xml"", url = ""https://flowrepository.org/experiments/332/attachments/502/download"", size = 4799993, md5sum = ""e882302eb594f53d2bbe7a3e3011c49a"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""16coul_mono_MF_DC_HUMAN_ADV_aorte_atheromateuse_AS1488_191112.xml"", url = ""https://flowrepository.org/experiments/332/attachments/503/download"", size = 2794584, md5sum = ""6b2580772f86e21429737862a9c692f3"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""16coul_mono_MF_DC_HUMAN_ADV_media_AAA_610_26_09_12_001.xml"", url = ""https://flowrepository.org/experiments/332/attachments/504/download"", size = 5557743, md5sum = ""8685756b4aadc11f8f6c0569cb6b379b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""OK_16coul_mono_MF_DC_HUMAN_ADV_Aorte_AS1464_02_10_12.xml"", url = ""https://flowrepository.org/experiments/332/attachments/505/download"", size = 6198770, md5sum = ""2b1799316ab27e550deac39c4e8a6d1a"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""OK_16coul_mono_MF_DC_HUMAN_ADV_Aorte_AS1467_10_10_12.xml"", url = ""https://flowrepository.org/experiments/332/attachments/506/download"", size = 6292157, md5sum = ""4d79aa9d4f9ec09b238e21538779ff99"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Tri_MF_polarises_AAA_613_17_10_12.xml"", url = ""https://flowrepository.org/experiments/332/attachments/507/download"", size = 2935233, md5sum = ""f71133d7ea8f1173cd422d38325d163b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Tri_MF_polarises_AS_1549_04_03_13.xml"", url = ""https://flowrepository.org/experiments/332/attachments/508/download"", size = 3033409, md5sum = ""153adcb78f9ea31890904784a90b591b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""flowrepository.org.log"", url = ""https://flowrepository.org/experiments/332/attachments/509/download"", size = 837, md5sum = ""cf702d21962dd82490d1071afaa77458"", localpath = NULL)",155,30
FR-FCM-ZZAD,"Laccase, CA, KYA, and L-KYN on Mouse cells",Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = ""For figure 8A"", name = ""20111219_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/513/download"", size = 621674, md5sum = ""0cd7b006fdd83efa329dabc36dc0c93d"", localpath = NULL)|new(""attachmentProxy"", description = ""For figure 8A"", name = ""20111220_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/514/download"", size = 774870, md5sum = ""94f50baac719fca631197161b09619dd"", localpath = NULL)|new(""attachmentProxy"", description = ""For Figure 8A"", name = ""20120131_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/515/download"", size = 1194309, md5sum = ""180728e608eedc67cfc5f1ea5592b078"", localpath = NULL)|new(""attachmentProxy"", description = ""For Figure 8A and 9E"", name = ""20120214_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/516/download"", size = 1250386, md5sum = ""13f865f7a41dfc7e597c83639fe3b416"", localpath = NULL)|new(""attachmentProxy"", description = ""For figure 8A"", name = ""20120217_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/517/download"", size = 918220, md5sum = ""dbdc93ba9b071f0e9fde7d131bf8c145"", localpath = NULL)|new(""attachmentProxy"", description = ""For figure 9E"", name = ""20120224_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/518/download"", size = 1082025, md5sum = ""97c31de4c41bf02827e32377d1ed79f9"", localpath = NULL)|new(""attachmentProxy"", description = ""For figure 9E"", name = ""20120323_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/519/download"", size = 969175, md5sum = ""629492e83632f7ee4ffb8640e2450a9e"", localpath = NULL)|new(""attachmentProxy"", description = ""For figure 9E"", name = ""20120406_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/520/download"", size = 1213060, md5sum = ""a07e73cde14582629d9bd02dadd16402"", localpath = NULL)|new(""attachmentProxy"", description = ""For figure 8A"", name = ""20121105_Workspace.jo"", url = ""https://flowrepository.org/experiments/333/attachments/521/download"", size = 1033436, md5sum = ""0cb8557f7b43400fd4ceedccb5fa25d9"", localpath = NULL)",157,30
FR-FCM-ZZAE,Human aortic adventitia stromal cell subsets,Charles-Antoine Dutertre,Charles-Antoine Dutertre,NA,94,30
FR-FCM-ZZAF,Comparison of CA and FICZ,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = NULL, name = ""20120713_Workspace.jo"", url = ""https://flowrepository.org/experiments/335/attachments/522/download"", size = 675483, md5sum = ""347ff2a6192e63857c7e02b4e0e58aec"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20120719_Workspace.jo"", url = ""https://flowrepository.org/experiments/335/attachments/523/download"", size = 897451, md5sum = ""2703d13b031a7793d25c37d47582cf4b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20120727_Workspace.jo"", url = ""https://flowrepository.org/experiments/335/attachments/524/download"", size = 552423, md5sum = ""c08f4bdee554055d01071bac18b42d36"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20120801_Workspace.jo"", url = ""https://flowrepository.org/experiments/335/attachments/525/download"", size = 630366, md5sum = ""c05995f8c7bd592687740c42b70ed6e5"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20120824_Workspace.jo"", url = ""https://flowrepository.org/experiments/335/attachments/526/download"", size = 489170, md5sum = ""4e667ee43db2669a0987f88f87192fc8"", localpath = NULL)",67,30
FR-FCM-ZZAG,Effects of CA on Mouse Treg Differentiation,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = NULL, name = ""20130214_Workspace.jo"", url = ""https://flowrepository.org/experiments/336/attachments/527/download"", size = 481794, md5sum = ""7856477eac12c57d1fe259b5ad9dcc1b"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20130220_Workspace.jo"", url = ""https://flowrepository.org/experiments/336/attachments/528/download"", size = 414540, md5sum = ""4e5792f0cfa7027d0dc9af854f8bc21a"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20130228_Workspace.jo"", url = ""https://flowrepository.org/experiments/336/attachments/529/download"", size = 443355, md5sum = ""aa27435fde3b3cf76b3cb7037db92f98"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""20130306_Workspace.jo"", url = ""https://flowrepository.org/experiments/336/attachments/530/download"", size = 415682, md5sum = ""33b024098ee866dcd9f7c5fade79f0e9"", localpath = NULL)",66,30
FR-FCM-ZZAJ,Semi-quantitative estimation of cellular sio2 NPs using flow cytometry combined with XRF measurement,Nuri Yang,Nuri Yang,"new(""attachmentProxy"", description = NULL, name = ""scatter_plot.fey"", url = ""https://flowrepository.org/experiments/339/attachments/532/download"", size = 40459, md5sum = ""eb066846f1a2a5948526bd74391328fa"", localpath = NULL)",21,21
FR-FCM-ZZAK,TNF-alpha and eosinophil apoptosis,Hannu Kankaanranta,Pinja Ilmarinen,NA,8,8
FR-FCM-ZZAL,FCM for viability and ROS of C.gigas oocytes,Nelly LEGOIC,Nelly LEGOIC,"new(""attachmentProxy"", description = NULL, name = ""Sample_description.xls"", url = ""https://flowrepository.org/experiments/341/attachments/534/download"", size = 88064, md5sum = ""b710a7b65d7cafbc5e36915219f48844"", localpath = NULL)",81,30
FR-FCM-ZZAM,Effects of CA on Human Tregs,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = ""For 5C"", name = ""20130313_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/535/download"", size = 726014, md5sum = ""aabeaa60085f518ad979d0952b8713ad"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5C"", name = ""20130326_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/536/download"", size = 504243, md5sum = ""8433f7a69146127a6234e2c66ab85001"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5C"", name = ""20130329_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/537/download"", size = 817408, md5sum = ""37102dd203e016503470ea8a8d084209"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5C"", name = ""20130409_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/538/download"", size = 935987, md5sum = ""70c35c054a0e1a057e7ba0773d2c7816"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5C and 5D"", name = ""20130625_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/539/download"", size = 2258189, md5sum = ""b218745d02a1e7cb1899a7af3f2058a6"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5C and 5D"", name = ""20130701_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/541/download"", size = 1494755, md5sum = ""6eb583bb5576c53f5ec38f1bc30517f7"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5D"", name = ""20130604_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/542/download"", size = 1801529, md5sum = ""1a7c5366e4df02b2bc5595c12d4e54c7"", localpath = NULL)|new(""attachmentProxy"", description = ""For 5D"", name = ""20130618_Workspace.jo"", url = ""https://flowrepository.org/experiments/342/attachments/543/download"", size = 1078530, md5sum = ""2e07068d73c89152d02469b33a0a11ae"", localpath = NULL)",327,30
FR-FCM-ZZBD,Effects of CA on Adult Naive T cells,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = ""Not included in Fig, example of lower concentrations"", name = ""analysis.jo"", url = ""https://flowrepository.org/experiments/365/attachments/558/download"", size = 694452, md5sum = ""72b13d25a51dab233c9387d25eb2c0f2"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""New_Analysis_112009.jo"", url = ""https://flowrepository.org/experiments/365/attachments/559/download"", size = 1540769, md5sum = ""e268021e5c55ca2ab2f5d1afa6031fc6"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""analysis.jo-(1)"", url = ""https://flowrepository.org/experiments/365/attachments/560/download"", size = 811513, md5sum = ""da01a4217cf24ac47da3aefa851f770f"", localpath = NULL)",41,30
FR-FCM-ZZBF,Expression of activation and inhibition markers on PMNs incubated with M. canettii and M. bovis BCG,Mariana  Orozco Uribe,Mariana  Orozco Uribe,"new(""attachmentProxy"", description = NULL, name = ""20130524_Exp_15.wsp"", url = ""https://flowrepository.org/experiments/367/attachments/603/download"", size = 3424611, md5sum = ""77b299b8502d5c86f94352bbfcd2d62d"", localpath = NULL)",48,30
FR-FCM-ZZBG,Exposure of PBMCs to CA increases IL22 production by CD4,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = NULL, name = ""analysis.jo"", url = ""https://flowrepository.org/experiments/368/attachments/561/download"", size = 1955249, md5sum = ""78acfb3ef611c4226e090983993eeefa"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Untitled_Workspace.jo"", url = ""https://flowrepository.org/experiments/368/attachments/562/download"", size = 1821871, md5sum = ""327a61f808f61c214597b6e9a4fe3093"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""analysis.jo-(1)"", url = ""https://flowrepository.org/experiments/368/attachments/563/download"", size = 2435437, md5sum = ""1afd2bbc27559c77c14dce65b34777ca"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""analysis.jo-(2)"", url = ""https://flowrepository.org/experiments/368/attachments/564/download"", size = 2059386, md5sum = ""e560b09db2f79f0e068111576b48a265"", localpath = NULL)",109,30
FR-FCM-ZZBW,flowDensity- Figure1,Ryan Brinkman,Mehrnoush Malek,NA,12,12
FR-FCM-ZZBJ,HAA effects on IL-22 in the presence of an AHR antagonist,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = NULL, name = ""Set3.jo"", url = ""https://flowrepository.org/experiments/371/attachments/565/download"", size = 477923, md5sum = ""2fd6409a4c441eacb55938e72c47ea2e"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Set_1.jo"", url = ""https://flowrepository.org/experiments/371/attachments/566/download"", size = 484528, md5sum = ""30fe02eac5f11c84cf38644452566a56"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Set_2.jo"", url = ""https://flowrepository.org/experiments/371/attachments/567/download"", size = 492947, md5sum = ""0aeba09d2ba71dedadcea675c615cdf4"", localpath = NULL)",69,30
FR-FCM-ZZBK,Effects of HAA on Cytokine Production by CD4 T cells,Margaret Lowe,Margaret Lowe,"new(""attachmentProxy"", description = ""Donor 3 part of Fig 1b, Samples 1 part of 2A"", name = ""Donors3and4.jo"", url = ""https://flowrepository.org/experiments/372/attachments/569/download"", size = 2755403, md5sum = ""8e38489c21f2b21eba09dc79ce1eebea"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b aggregate and 2A"", name = ""Donors_4_and_5_workspace.jo"", url = ""https://flowrepository.org/experiments/372/attachments/570/download"", size = 2617407, md5sum = ""b960dd51358c5fb694bb09866fa4bbf4"", localpath = NULL)|new(""attachmentProxy"", description = ""Donor 3 part of Fig 1b and 2A"", name = ""Donor_3_workspace.jo"", url = ""https://flowrepository.org/experiments/372/attachments/571/download"", size = 828687, md5sum = ""1319845b7df954f8272553b0d6210cbd"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b and 2A"", name = ""Donor_1_and_2.jo"", url = ""https://flowrepository.org/experiments/372/attachments/572/download"", size = 2242135, md5sum = ""8d70fdc38a61c76fbcedb76f50e69bb6"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b aggregate data"", name = ""Donor_6.jo"", url = ""https://flowrepository.org/experiments/372/attachments/573/download"", size = 1701868, md5sum = ""ae534e6e9d224f81e2afbac983126aee"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b"", name = ""Donor_2_and_7.jo"", url = ""https://flowrepository.org/experiments/372/attachments/574/download"", size = 1385008, md5sum = ""af069ced4849bfcec2e6e29779ac3f27"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b"", name = ""Donor_1_and_7.jo"", url = ""https://flowrepository.org/experiments/372/attachments/575/download"", size = 1259160, md5sum = ""f223397ac4b0ed1652d4a56cbbd5b8cf"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b"", name = ""Donor_2_and_8.jo"", url = ""https://flowrepository.org/experiments/372/attachments/576/download"", size = 1443473, md5sum = ""136044df6ae4eb0ab6577c37c08dbe6b"", localpath = NULL)|new(""attachmentProxy"", description = ""Part of Fig 1b"", name = ""Donor_1_and_4.jo"", url = ""https://flowrepository.org/experiments/372/attachments/577/download"", size = 1778638, md5sum = ""94306d808903a6d8d677538637b0a789"", localpath = NULL)",584,30
FR-FCM-ZZBL,fluorescent beads for 3D microscope quantification,Daniel Diaz de Quijano,Karel Hornak,"new(""attachmentProxy"", description = NULL, name = ""beads-statistics.doc"", url = ""https://flowrepository.org/experiments/373/attachments/568/download"", size = 24064, md5sum = ""2179a5ca39539d2ec74ef9f8c27c092d"", localpath = NULL)",1,1
FR-FCM-ZZBN,Selection on noise constrains variation in a yeast promoter,Patricia Wittkopp,Brian Metzger,"new(""attachmentProxy"", description = NULL, name = ""Layout_Upload.xlsx"", url = ""https://flowrepository.org/experiments/375/attachments/902/download"", size = 419319, md5sum = ""b52f9ded8f58089c783b9d41051a7fba"", localpath = NULL)",6960,30
FR-FCM-ZZBR,Erythrocyte shape,Manfred Baumstark,Christoph Ahlgrim,NA,1303,30
FR-FCM-ZZBS,Cherax interleukin,Oscar Vivanco,Oscar Vivanco,"new(""attachmentProxy"", description = NULL, name = ""Analisis_CD25_Cq.jo"", url = ""https://flowrepository.org/experiments/380/attachments/621/download"", size = 796679, md5sum = ""0499899909bda86cd8f2ffd6ce167f43"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Poblaciones_CD25+.pic"", url = ""https://flowrepository.org/experiments/380/attachments/622/download"", size = 11374, md5sum = ""24288d6648e69ba1a7e6d1261a87f881"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Tamaño_y_granularidad.jo"", url = ""https://flowrepository.org/experiments/380/attachments/623/download"", size = 279260, md5sum = ""60f8bd9ead4542da1f89f1a3e8ab31e7"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""Tamaño_y_granularidad.pic"", url = ""https://flowrepository.org/experiments/380/attachments/624/download"", size = 9516, md5sum = ""b9a4e6b16c4e436f03b9a359b8ec4c72"", localpath = NULL)",3,3
FR-FCM-ZZBT,RNA Flow Cytometry: Comparison of Fresh vs Cryopreserved HIV Infected Cells,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""DIVA experiment file"", name = ""plos_3b.xml"", url = ""https://flowrepository.org/experiments/381/attachments/595/download"", size = 140693, md5sum = ""cbbdb6bd7d7e82135da9f3cb7525ee0f"", localpath = NULL)",4,4
FR-FCM-ZZC4,RNA Flow Cytometry: single RNA stained samples vs multiplexed,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""FACSDiva xml"", name = ""K562_single_colors_070612.xml"", url = ""https://flowrepository.org/experiments/388/attachments/587/download"", size = 254938, md5sum = ""865e7bf0068cf9225dcb88a814807db3"", localpath = NULL)",14,14
FR-FCM-ZZC7,Monocyte CD4 mRNA and Protein Expression Analysis,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Diva Experiment File"", name = ""Fig_1_expt.xml"", url = ""https://flowrepository.org/experiments/391/attachments/588/download"", size = 133827, md5sum = ""f9f4767f900a2b44e5f7c24436d1647a"", localpath = NULL)",4,4
FR-FCM-ZZC8,CD4 and INFg mRNA/Protein expression in stimulated PBMC,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Diva experiment file"", name = ""Fig_2_expt.xml"", url = ""https://flowrepository.org/experiments/392/attachments/590/download"", size = 153110, md5sum = ""7048cd3732061939fd2056408492b230"", localpath = NULL)",4,4
FR-FCM-ZZC9,Temporal IFNg and CD4 mRNA and IFNg protein expression kinetics in stimulated PBMCs,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""DIVA experiment XML"", name = ""Fig_3_Expt.xml"", url = ""https://flowrepository.org/experiments/393/attachments/591/download"", size = 265514, md5sum = ""65486e01e0b1c7cd2903da472022facc"", localpath = NULL)",14,14
FR-FCM-ZZCA,Monocyte CD4 and IFNg mRNA expression kinetics in stimulated PBMCs,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Dive Experiment XML"", name = ""Fig_3b_Expt.xml"", url = ""https://flowrepository.org/experiments/394/attachments/592/download"", size = 132415, md5sum = ""0ce1a2947661d895e9d2ea8fa966a471"", localpath = NULL)",5,5
FR-FCM-ZZCB,Effect of monensin on IFNg mRNA and Protein expression,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Diva Experiment file"", name = ""Fig_4_Expt.xml"", url = ""https://flowrepository.org/experiments/395/attachments/593/download"", size = 218625, md5sum = ""f2e0cc7c19168bb5ce4acd75b32993da"", localpath = NULL)",12,12
FR-FCM-ZZCC,RNA Flow Cytometry: K562 BCR mRNA expression.  Sorting for imaging correlation,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Diva experiment file"", name = ""plos_fig_5e.xml"", url = ""https://flowrepository.org/experiments/396/attachments/594/download"", size = 122126, md5sum = ""c11cd2d689427d9ae62b9a980a6db08e"", localpath = NULL)",2,2
FR-FCM-ZZCD,RNA Flow Cytometry: Evaluation of RNA staining in suspension cells,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Diva experiment file"", name = ""plos_3a.xml"", url = ""https://flowrepository.org/experiments/397/attachments/596/download"", size = 80395, md5sum = ""3982b802d5924cb9a6a3612003451211"", localpath = NULL)",2,2
FR-FCM-ZZCE,RNA Flow Cytometry: multiplexing evaluation,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""DIVA experiment file"", name = ""plos_4a.xml"", url = ""https://flowrepository.org/experiments/398/attachments/597/download"", size = 72873, md5sum = ""7facc25b7e361304e5c6ed1d6fc88f1d"", localpath = NULL)",2,2
FR-FCM-ZZCF,RNA Flow Cytometry: evaluation of detection sensitivity in low abundant intracellular RNA,Emily Park,Chip Lomas,"new(""attachmentProxy"", description = ""Diva experiment file"", name = ""plos_fig_5b.xml"", url = ""https://flowrepository.org/experiments/399/attachments/599/download"", size = 125680, md5sum = ""82a644a6445aea31ff3b9817eb54ec0f"", localpath = NULL)",2,2
FR-FCM-ZZD7,Experimental human pneumococcal carriage augments IL-17A-dependent T-cell defence of the lung.,Adam Kelvin Alec Wright,Adam Kelvin Alec Wright,"new(""attachmentProxy"", description = NULL, name = ""Gating_in_manuscipt.xml"", url = ""https://flowrepository.org/experiments/423/attachments/697/download"", size = 1589, md5sum = ""a3eedb5a57470a0af0c6aa9eded03524"", localpath = NULL)",123,30
FR-FCM-ZZD8,Cell cycle screen of yeast deletion library - repeat of strains with extended G1,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""g1.txt.annotation.csv"", url = ""https://flowrepository.org/experiments/424/attachments/676/download"", size = 12087, md5sum = ""7031f22d7c9324490e05c11632ad15cb"", localpath = NULL)",260,30
FR-FCM-ZZD9,Cell cycle screen of yeast deletion library - repeat of strains with extended G2,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""g2.txt.annotation.csv"", url = ""https://flowrepository.org/experiments/425/attachments/698/download"", size = 12118, md5sum = ""6a6e4d5ec2d3fa840f391eda118244c4"", localpath = NULL)",261,30
FR-FCM-ZZDA,Cell cycle screen of yeast deletion library - repeat of strains with extended S,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""s.txt.annotation.csv"", url = ""https://flowrepository.org/experiments/426/attachments/700/download"", size = 11808, md5sum = ""4f6f347b5ff1c389b4808c77b0257c3f"", localpath = NULL)",260,30
FR-FCM-ZZDB,Cell cycle screen of yeast deletion library - repeat of strains with small size,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""small.txt.annotation.csv"", url = ""https://flowrepository.org/experiments/427/attachments/702/download"", size = 25339, md5sum = ""6c3cf4610e893ec19923ad23d1eaf09a"", localpath = NULL)",501,30
FR-FCM-ZZDC,Cell cycle screen of yeast deletion library - repeat of strains with a large size,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""large.txt.annotation.csv"", url = ""https://flowrepository.org/experiments/428/attachments/714/download"", size = 25749, md5sum = ""84811d6c5c82a49dae14270681fa68e1"", localpath = NULL)",521,30
FR-FCM-ZZDD,Cell cycle screen of yeast deletion library - repeat of strains of special interest,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""special.txt.annotation.csv"", url = ""https://flowrepository.org/experiments/429/attachments/715/download"", size = 27057, md5sum = ""5e756650b23af58ad6e543e5b6fe6c03"", localpath = NULL)",527,30
FR-FCM-ZZDE,ND010511,Tim Mosmann,Nan Deng,NA,13,13
FR-FCM-ZZDK,Lina Han-Flow-CyTOF,LINA HAN,LINA HAN,NA,58,30
FR-FCM-ZZDX,ND122911,Tim Mosmann,Nan Deng,NA,21,21
FR-FCM-ZZDP,ND062211,Tim Mosmann,Nan Deng,NA,23,23
FR-FCM-ZZDQ,Lymphocytes subsets reference values in childhood,Francesca Tosato,Francesca Tosato,NA,1089,30
FR-FCM-ZZDR,FIGURE 1_Optimization of rhabdomyosarcoma disseminated disease assessment by flow cytometry,Ana Almazan,Ana Almazan,NA,34,30
FR-FCM-ZZDS,FIGURE 4_Optimization of rhabdomyosarcoma disseminated disease assessment by flow cytometry,Ana Almazan,Ana Almazan,NA,26,26
FR-FCM-ZZDV,Cell cycle screen of yeast deletion library - prescreen on YPD - set 1,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/447/attachments/703/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",565,30
FR-FCM-ZZEZ,Cell cycle screen of yeast deletion library - prescreen on YPD - set 2,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/448/attachments/704/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",552,30
FR-FCM-ZZEY,Cell cycle screen of yeast deletion library - prescreen on YPD - set 3,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/449/attachments/705/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",531,30
FR-FCM-ZZE2,Cell cycle screen of yeast deletion library - prescreen on YPD - set 4,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/450/attachments/706/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",552,30
FR-FCM-ZZE3,Cell cycle screen of yeast deletion library - prescreen on YPD - set 5,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/451/attachments/707/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",560,30
FR-FCM-ZZE4,Cell cycle screen of yeast deletion library - prescreen on YPD - set 6,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/452/attachments/708/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",557,30
FR-FCM-ZZE5,Cell cycle screen of yeast deletion library - prescreen on YPD - set 7,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/453/attachments/709/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",539,30
FR-FCM-ZZE6,Cell cycle screen of yeast deletion library - prescreen on YPD - set 8,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/454/attachments/710/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",557,30
FR-FCM-ZZE7,Cell cycle screen of yeast deletion library - prescreen on YPD - set 9,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/455/attachments/711/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",508,30
FR-FCM-ZZE8,Cell cycle screen of yeast deletion library - prescreen on YPD - set 10,Ilya Soifer,Ilya Soifer,"new(""attachmentProxy"", description = NULL, name = ""YKO.txt.annotation.CSV"", url = ""https://flowrepository.org/experiments/456/attachments/712/download"", size = 252459, md5sum = ""37266f1a1f0fd2dddc5315a91fae499c"", localpath = NULL)",564,30
